model;imei;sn;icc_1;icc_2;human
333;866897052184670;;89701010068373604216;89701026995199299;152
333;862430059525176;;89701010068373604422;89701026995199348;152
333;866897052183375;;89701010068373604471;89701026995199343;152
333;866897052193382;;89701010068373604463;89701026995199344;152
333;866897052198977;;89701010068373604455;89701026995199345;152
333;866897052184001;;89701010068373604489;89701026995199342;152
333;866897052179779;;89701010068373604497;89701026995199350;152
333;866897052194216;;89701010068373604448;89701026995199346;152
333;866897052183672;;89701010068373604430;89701026995199347;152
333;866897052192392;;89701010068373604505;89701026995199351;152
333;866897052183151;;89701010068373604513;89701026995199352;152
333;866897052213339;;89701010068373604521;89701026995199353;152
333;866897052194315;;89701010068373604539;89701026995199354;152
333;866897052183888;;89701010068373604547;89701026995199355;152
333;866897052181049;;89701010068373604554;89701026995199356;152
333;866897052193754;;89701010068373604562;89701026995199357;152
333;866897052210970;;89701010068373604570;89701026995199358;152
333;866897052196104;;89701010068373604588;89701026995199359;152
333;866897052195767;;89701010068373604224;89701026995199360;152
333;866897052233337;;89701010068373604232;89701026995199361;152
333;866897052169986;;89701010068373604240;89701026995199362;152
333;866897052233154;;89701010068373604257;89701026995199363;152
333;866897052198993;;89701010068373604265;89701026995199364;152
333;866897052178938;;89701010068373604273;89701026995199365;152
333;866897052174515;;89701010068373604299;89701026995199366;152
333;866897052180249;;89701010068373604307;89701026995199367;152
333;866897052209295;;89701010068373604315;89701026995199368;152
333;866897052195775;;89701010068373604323;89701026995199369;152
333;866897052184340;;89701010068373604372;89701026995199374;152
333;866897052233121;;89701010068373604364;89701026995199373;152
333;866897052192996;;89701010068373604356;89701026995199372;152
333;866897052209394;;89701010068373604349;89701026995199371;152
333;866897052193358;;89701010068373604331;89701026995199370;152
333;866897052198753;;89701010068373604281;89701026995199298;152
333;866897052204049;;89701010068373604042;89701026995199297;152
333;866897052184654;;89701010068373604034;89701026995199275;152
333;866897052203736;;89701010068373604158;89701026995199286;152
333;866897052183169;;89701010068373604026;89701026995199276;152
333;866897052193036;;89701010068373604141;89701026995199287;152
333;866897052194364;;89701010068373604414;89701026995199277;152
333;866897052179928;;89701010068373604133;89701026995199288;152
333;866897052193341;;89701010068373604406;89701026995199278;152
333;866897052184456;;89701010068373604125;89701026995199289;152
333;866897052184126;;89701010068373604398;89701026995199279;152
333;866897052193440;;89701010068373604117;89701026995199290;152
333;866897052183631;;89701010068373604380;89701026995199280;152
333;862430059525051;;89701010068373604109;89701026995199291;152
333;866897052182328;;89701010068373604208;89701026995199281;152
333;866897052181775;;89701010068373604091;89701026995199292;152
333;866897052192400;;89701010068373604190;89701026995199282;152
333;866897052169150;;89701010068373604083;89701026995199293;152
333;866897052173970;;89701010068373604182;89701026995199283;152
333;862430059858163;;89701010068373604075;89701026995199294;152
333;866897052193416;;89701010068373604174;89701026995199284;152
333;866897052183730;;89701010068373604067;89701026995199295;152
333;866897052192632;;89701010068373604166;89701026995199285;152
333;866897052203660;;89701010068373604059;89701026995199296;152
